"""monthly gross income""","""one""","""two""","""three""","""four""","""five""","""six_plus""","""duty to support"""
1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
25.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
75.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
125.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
175.0,185.0,185.0,185.0,185.0,185.0,185.0,184.0
225.0,231.0,231.0,231.0,231.0,231.0,231.0,228.0
275.0,277.0,277.0,277.0,277.0,277.0,277.0,273.0
325.0,323.0,323.0,323.0,323.0,323.0,323.0,317.0
375.0,368.0,369.0,369.0,369.0,369.0,369.0,361.0
425.0,412.0,416.0,416.0,416.0,416.0,416.0,405.0
475.0,457.0,462.0,462.0,462.0,462.0,462.0,450.0
525.0,501.0,508.0,508.0,508.0,508.0,508.0,494.0
575.0,545.0,552.0,554.0,554.0,554.0,554.0,538.0
625.0,589.0,596.0,600.0,600.0,600.0,600.0,583.0
675.0,634.0,641.0,646.0,646.0,646.0,646.0,627.0
725.0,678.0,685.0,692.0,693.0,693.0,693.0,671.0
775.0,722.0,729.0,736.0,739.0,739.0,739.0,716.0
825.0,767.0,773.0,780.0,785.0,785.0,785.0,760.0
875.0,811.0,818.0,825.0,831.0,831.0,831.0,801.0
925.0,855.0,862.0,869.0,876.0,877.0,877.0,840.0
975.0,900.0,906.0,913.0,920.0,927.0,934.0,879.0
1025.0,944.0,951.0,957.0,964.0,971.0,978.0,919.0
1075.0,988.0,995.0,1002.0,1009.0,1015.0,1022.0,958.0
1125.0,1032.0,1039.0,1046.0,1053.0,1060.0,1066.0,997.0
1175.0,1077.0,1084.0,1090.0,1097.0,1104.0,1111.0,1037.0
1225.0,1117.0,1128.0,1135.0,1141.0,1148.0,1155.0,1076.0
1275.0,1156.0,1172.0,1179.0,1186.0,1193.0,1199.0,1115.0
1325.0,1195.0,1216.0,1223.0,1230.0,1237.0,1244.0,1155.0
1375.0,1234.0,1261.0,1268.0,1274.0,1281.0,1288.0,1194.0
1425.0,1274.0,1305.0,1312.0,1319.0,1325.0,1332.0,1233.0
1475.0,1313.0,1349.0,1356.0,1363.0,1370.0,1377.0,1272.0
1525.0,1352.0,1393.0,1400.0,1407.0,1414.0,1421.0,1312.0
1575.0,1392.0,1432.0,1445.0,1452.0,1458.0,1465.0,1351.0
1625.0,1431.0,1471.0,1489.0,1496.0,1503.0,1509.0,1390.0
1675.0,1470.0,1511.0,1533.0,1540.0,1547.0,1554.0,1427.0
1725.0,1510.0,1550.0,1578.0,1584.0,1591.0,1598.0,1464.0
1775.0,1549.0,1589.0,1622.0,1629.0,1636.0,1642.0,1500.0
1825.0,1588.0,1629.0,1666.0,1673.0,1680.0,1687.0,1537.0
1875.0,1627.0,1668.0,1709.0,1717.0,1724.0,1731.0,1574.0
1925.0,1667.0,1707.0,1748.0,1762.0,1768.0,1775.0,1611.0
1975.0,1705.0,1747.0,1787.0,1806.0,1813.0,1820.0,1648.0
2025.0,1742.0,1786.0,1826.0,1850.0,1857.0,1864.0,1684.0
2075.0,1779.0,1825.0,1866.0,1895.0,1901.0,1908.0,1721.0
2125.0,1816.0,1864.0,1905.0,1939.0,1946.0,1952.0,1758.0
2175.0,1852.0,1904.0,1944.0,1983.0,1990.0,1997.0,1795.0
2225.0,1889.0,1943.0,1984.0,2024.0,2034.0,2041.0,1832.0
2275.0,1926.0,1982.0,2023.0,2063.0,2079.0,2085.0,1868.0
2325.0,1963.0,2020.0,2062.0,2103.0,2123.0,2130.0,1905.0
2375.0,2000.0,2057.0,2102.0,2142.0,2167.0,2174.0,1942.0
2425.0,2036.0,2094.0,2141.0,2181.0,2211.0,2218.0,1979.0
2475.0,2073.0,2131.0,2180.0,2221.0,2256.0,2263.0,2016.0
2525.0,2110.0,2167.0,2219.0,2260.0,2300.0,2307.0,2052.0
2575.0,2147.0,2204.0,2259.0,2299.0,2340.0,2351.0,2089.0
2625.0,2184.0,2241.0,2298.0,2339.0,2379.0,2395.0,2126.0
2675.0,2220.0,2278.0,2335.0,2378.0,2418.0,2440.0,2163.0
2725.0,2257.0,2315.0,2372.0,2417.0,2458.0,2484.0,2200.0
2775.0,2294.0,2351.0,2409.0,2456.0,2497.0,2528.0,2236.0
2825.0,2331.0,2388.0,2446.0,2496.0,2536.0,2573.0,2273.0
2875.0,2368.0,2425.0,2482.0,2535.0,2576.0,2616.0,2310.0
2925.0,2404.0,2462.0,2519.0,2574.0,2615.0,2655.0,2347.0
2975.0,2441.0,2499.0,2556.0,2613.0,2654.0,2695.0,2384.0
3025.0,2478.0,2535.0,2593.0,2650.0,2694.0,2734.0,2420.0
3075.0,2515.0,2572.0,2630.0,2687.0,2733.0,2773.0,2457.0
3125.0,2552.0,2609.0,2666.0,2724.0,2772.0,2813.0,2494.0
3175.0,2588.0,2646.0,2703.0,2761.0,2811.0,2852.0,2531.0
3225.0,2625.0,2683.0,2740.0,2797.0,2851.0,2891.0,2568.0
3275.0,2662.0,2719.0,2777.0,2834.0,2890.0,2931.0,2604.0
3325.0,2699.0,2756.0,2814.0,2871.0,2928.0,2970.0,2641.0
3375.0,2736.0,2793.0,2850.0,2908.0,2965.0,3009.0,2678.0
3425.0,2772.0,2830.0,2887.0,2945.0,3002.0,3048.0,2715.0
3475.0,2809.0,2867.0,2924.0,2981.0,3039.0,3088.0,2752.0
3525.0,2846.0,2903.0,2961.0,3018.0,3076.0,3127.0,2788.0
3575.0,2883.0,2940.0,2998.0,3055.0,3112.0,3166.0,2825.0
3625.0,2920.0,2977.0,3034.0,3092.0,3149.0,3206.0,2862.0
3675.0,2956.0,3014.0,3071.0,3129.0,3186.0,3243.0,2899.0
3725.0,2993.0,3051.0,3108.0,3165.0,3223.0,3280.0,2936.0
3775.0,3030.0,3087.0,3145.0,3202.0,3260.0,3317.0,2972.0
3825.0,3067.0,3124.0,3182.0,3239.0,3296.0,3354.0,3009.0
3875.0,3104.0,3161.0,3218.0,3276.0,3333.0,3391.0,3046.0
3925.0,3140.0,3198.0,3255.0,3313.0,3370.0,3427.0,3083.0
3975.0,3177.0,3235.0,3292.0,3349.0,3407.0,3464.0,3120.0
4025.0,3214.0,3271.0,3329.0,3386.0,3444.0,3501.0,3154.0
4075.0,3251.0,3308.0,3366.0,3423.0,3480.0,3538.0,3186.0
4125.0,3288.0,3345.0,3402.0,3460.0,3517.0,3575.0,3218.0
4175.0,3324.0,3382.0,3439.0,3497.0,3554.0,3611.0,3250.0
4225.0,3361.0,3419.0,3476.0,3533.0,3591.0,3648.0,3282.0
4275.0,3398.0,3455.0,3513.0,3570.0,3628.0,3685.0,3313.0
4325.0,3435.0,3492.0,3550.0,3607.0,3664.0,3722.0,3345.0
4375.0,3468.0,3529.0,3586.0,3644.0,3701.0,3759.0,3377.0
4425.0,3500.0,3566.0,3623.0,3681.0,3738.0,3795.0,3409.0
4475.0,3532.0,3603.0,3660.0,3717.0,3775.0,3832.0,3441.0
4525.0,3564.0,3639.0,3697.0,3754.0,3812.0,3869.0,3472.0
4575.0,3595.0,3676.0,3734.0,3791.0,3848.0,3906.0,3504.0
4625.0,3627.0,3713.0,3770.0,3828.0,3885.0,3943.0,3536.0
4675.0,3659.0,3750.0,3807.0,3865.0,3922.0,3979.0,3568.0
4725.0,3691.0,3782.0,3844.0,3901.0,3959.0,4016.0,3600.0
4775.0,3723.0,3814.0,3881.0,3938.0,3996.0,4053.0,3631.0
4825.0,3754.0,3846.0,3918.0,3975.0,4032.0,4090.0,3663.0
4875.0,3786.0,3877.0,3954.0,4012.0,4069.0,4127.0,3695.0
4925.0,3818.0,3909.0,3991.0,4049.0,4106.0,4163.0,3727.0
4975.0,3850.0,3941.0,4028.0,4085.0,4143.0,4200.0,3759.0
5025.0,3882.0,3973.0,4064.0,4122.0,4180.0,4237.0,3790.0
5075.0,3913.0,4005.0,4096.0,4159.0,4216.0,4274.0,3822.0
5125.0,3945.0,4036.0,4128.0,4196.0,4253.0,4311.0,3854.0
5175.0,3977.0,4068.0,4159.0,4233.0,4290.0,4347.0,3886.0
5225.0,4009.0,4100.0,4191.0,4269.0,4327.0,4384.0,3918.0
5275.0,4041.0,4132.0,4223.0,4306.0,4364.0,4421.0,3949.0
5325.0,4072.0,4164.0,4255.0,4343.0,4400.0,4458.0,3981.0
5375.0,4104.0,4195.0,4287.0,4378.0,4437.0,4495.0,4013.0
5425.0,4136.0,4227.0,4318.0,4409.0,4474.0,4531.0,4045.0
5475.0,4168.0,4259.0,4350.0,4441.0,4511.0,4568.0,4077.0
5525.0,4200.0,4291.0,4382.0,4473.0,4548.0,4605.0,4108.0
5575.0,4231.0,4323.0,4414.0,4505.0,4584.0,4642.0,4140.0
5625.0,4263.0,4354.0,4446.0,4537.0,4621.0,4679.0,4172.0
5675.0,4295.0,4386.0,4477.0,4568.0,4658.0,4715.0,4204.0
5725.0,4327.0,4418.0,4509.0,4600.0,4691.0,4752.0,4236.0
5775.0,4359.0,4450.0,4541.0,4632.0,4723.0,4789.0,4267.0
5825.0,4390.0,4482.0,4573.0,4664.0,4755.0,4826.0,4299.0
5875.0,4422.0,4513.0,4605.0,4696.0,4787.0,4863.0,4331.0
