"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
0.0,173.0,265.0,322.0,360.0,396.0,430.0
825.0,184.0,282.0,342.0,382.0,421.0,457.0
875.0,195.0,298.0,362.0,405.0,445.0,484.0
925.0,206.0,315.0,382.0,427.0,470.0,511.0
975.0,216.0,332.0,403.0,450.0,495.0,538.0
1025.0,227.0,348.0,423.0,472.0,519.0,565.0
1075.0,238.0,365.0,443.0,495.0,544.0,592.0
1125.0,249.0,381.0,463.0,517.0,569.0,618.0
1175.0,260.0,398.0,483.0,540.0,594.0,645.0
1225.0,270.0,415.0,503.0,562.0,618.0,672.0
1275.0,281.0,431.0,523.0,585.0,643.0,699.0
1325.0,292.0,448.0,544.0,607.0,668.0,726.0
1375.0,303.0,464.0,564.0,630.0,693.0,753.0
1425.0,314.0,481.0,584.0,652.0,717.0,780.0
1475.0,325.0,497.0,604.0,675.0,742.0,807.0
1525.0,335.0,514.0,624.0,697.0,767.0,834.0
1575.0,346.0,531.0,644.0,720.0,792.0,860.0
1625.0,357.0,547.0,664.0,742.0,816.0,887.0
1675.0,368.0,564.0,684.0,765.0,841.0,914.0
1725.0,379.0,580.0,705.0,787.0,866.0,941.0
1775.0,389.0,597.0,725.0,809.0,890.0,968.0
1825.0,400.0,613.0,744.0,831.0,914.0,993.0
1875.0,411.0,629.0,763.0,852.0,937.0,1018.0
1925.0,421.0,645.0,782.0,873.0,960.0,1044.0
1975.0,432.0,660.0,801.0,894.0,984.0,1069.0
2025.0,442.0,676.0,820.0,916.0,1007.0,1095.0
2075.0,453.0,692.0,839.0,937.0,1030.0,1120.0
2125.0,463.0,708.0,858.0,958.0,1054.0,1145.0
2175.0,474.0,724.0,877.0,979.0,1077.0,1171.0
2225.0,484.0,740.0,896.0,1000.0,1101.0,1196.0
2275.0,495.0,756.0,915.0,1022.0,1124.0,1222.0
2325.0,505.0,772.0,934.0,1043.0,1147.0,1247.0
2375.0,516.0,788.0,953.0,1064.0,1171.0,1272.0
2425.0,527.0,804.0,972.0,1085.0,1194.0,1298.0
2475.0,537.0,820.0,991.0,1107.0,1217.0,1323.0
2525.0,548.0,835.0,1010.0,1128.0,1241.0,1349.0
2575.0,558.0,851.0,1029.0,1149.0,1264.0,1374.0
2625.0,569.0,867.0,1048.0,1170.0,1287.0,1399.0
2675.0,579.0,883.0,1067.0,1192.0,1311.0,1425.0
2725.0,590.0,899.0,1086.0,1213.0,1334.0,1450.0
2775.0,600.0,915.0,1105.0,1234.0,1358.0,1476.0
2825.0,611.0,931.0,1124.0,1255.0,1381.0,1501.0
2875.0,621.0,947.0,1143.0,1277.0,1404.0,1526.0
2925.0,632.0,963.0,1162.0,1298.0,1428.0,1552.0
2975.0,643.0,979.0,1181.0,1319.0,1451.0,1577.0
3025.0,653.0,995.0,1200.0,1340.0,1474.0,1603.0
3075.0,664.0,1011.0,1219.0,1362.0,1498.0,1628.0
3125.0,674.0,1026.0,1238.0,1383.0,1521.0,1653.0
3175.0,685.0,1042.0,1257.0,1404.0,1545.0,1679.0
3225.0,695.0,1058.0,1276.0,1425.0,1568.0,1704.0
3275.0,706.0,1074.0,1295.0,1447.0,1591.0,1730.0
3325.0,716.0,1090.0,1314.0,1468.0,1615.0,1755.0
3375.0,727.0,1106.0,1333.0,1489.0,1638.0,1780.0
3425.0,737.0,1122.0,1352.0,1510.0,1661.0,1806.0
3475.0,748.0,1138.0,1371.0,1532.0,1685.0,1831.0
3525.0,759.0,1154.0,1390.0,1553.0,1708.0,1857.0
3575.0,769.0,1170.0,1409.0,1574.0,1731.0,1882.0
3625.0,780.0,1186.0,1428.0,1595.0,1755.0,1907.0
3675.0,790.0,1201.0,1447.0,1617.0,1778.0,1933.0
3725.0,801.0,1217.0,1466.0,1638.0,1802.0,1958.0
3775.0,811.0,1233.0,1485.0,1659.0,1825.0,1984.0
3825.0,818.0,1243.0,1496.0,1671.0,1838.0,1998.0
